NAME,AUTHOR,NARRATOR,RELEASEDATE,LANGUAGE,PRICE,DURATION_MINUTES,RATING_PERCENT
Geronimo Stilton #11 & #12,Geronimo Stilton,Bill Lobely,04-08-08,English,468.0,140,100
Devi Bhagwat Puran,Dr.Vinay,Sarvesh Vyas,19-07-21,Hindi,0.0,433,100
Roald Dahl Reads Charlie and the Chocolate Factory and Four More Stories,Roald Dahl,Roald Dahl,01-09-16,English,615.0,220,100
The Long Haul,Jeff Kinney,Dan Russell,05-11-14,English,410.0,126,100
The Terrible Two Get Worse,"Mac Barnett,Jory John",Adam Verner,12-01-16,English,585.0,212,100
Boy,Roald Dahl,Dan Stevens,11-09-14,English,615.0,191,100
The World's Worst Teachers,David Walliams,David Walliams,27-06-19,English,303.0,246,100
The Terrible Two's Last Laugh,"Mac Barnett,Jory John",Adam Verner,15-01-19,English,585.0,185,100
The Terrible Two Go Wild,"Mac Barnett,Jory John",Adam Verner,09-01-18,English,773.0,193,100
Big Nate Audio Collection: Books 1-4,Lincoln Peirce,Fred Berman,13-08-19,English,1181.0,437,100
Camp Cacophony,Jessica Khoury,Suzy Jackson,20-05-21,English,501.0,69,100
The Fever Code,James Dashner,Mark Deakins,27-09-16,English,721.0,597,100
Hanuman the Mighty,Shobha Viswanath,Girish Karnad,31-03-20,English,75.0,23,100
Robot Warriors,Zac Harrison,Michael Fenton Stevens,18-10-13,English,303.0,215,100
Galactic Battle,Zac Harrison,Michael Fenton Stevens,18-10-13,English,303.0,230,100
"Twinkle Twinkle, Little Star: Bedtime Songs and Lullabies",Audible Studios,"Mark Meadows,Deryn Edwards",05-03-12,English,200.0,46,100
Warlord's Revenge,Zac Harrison,Michael Fenton Stevens,18-10-13,English,307.0,202,100
Frozen Enemies,Zac Harrison,Michael Fenton Stevens,18-10-13,English,303.0,223,100
Bhagavath Geethai,Subramania Bharathi,Bombay Kannan,29-12-20,tamil,76.0,198,100
The Terrible Two,"Mac Barnett,Jory John",Adam Verner,13-01-15,English,585.0,202,100
Matilda,Roald Dahl,Kate Winslet,11-09-14,English,615.0,258,100
The BFG,Roald Dahl,David Walliams,11-09-14,English,615.0,264,100
"Eragon: The Inheritance Cycle, Book 1",Christopher Paolini,Gerrard Doyle,13-04-09,English,957.0,982,100
The Lost Hero,Rick Riordan,Joshua Swanson,27-03-14,English,957.0,994,100
The Circadian Diabetes Code,Dr.Satchin Panda,Vikas Adam,09-11-21,English,888.0,590,100
Stargazer,Dan Wells,"Cindy Kay,Margaret Ying Drake,Betsy Hogg,",18-02-21,English,836.0,269,100
The Throne of Fire,Rick Riordan,"Joseph May,Jane Collingwood",24-01-13,English,820.0,735,100
The Room of Many Colours,Ruskin Bond,Dev Haldar,21-12-18,English,879.0,519,100
The Adventures of Feluda: The Curse of the Goddess,Satyajit Ray,Sumit Kaul,18-12-18,English,377.0,172,100
Anne of Green Gables,Lucy Maud Montgomery,Rachel Mc Adams,22-11-16,English,836.0,562,100
The Secret Garden,Frances Hodgson Burnett,Johanna Ward,18-08-08,English,836.0,490,100
The Midnight Orchestra,Jessica Khoury,Suzy Jackson,13-01-22,English,1003.0,515,100
Spectacular School Trip (Really),Liz Pichon,Mathew Baynton,01-05-20,English,531.0,124,100
House of Teeth,Dan Jolley,Josh Hurley,05-12-19,English,199.0,435,100
Ruskin Bond: The Essential Collection for Young Readers,Ruskin Bond,Manisha Sethi,01-02-17,English,227.0,398,100
The Serpent's Shadow,Rick Riordan,"Jane Collingwood,Joseph May",24-01-13,English,820.0,649,100
Arsene Lupin vs. Sherlock Holmes [Classic Tales Edition],Maurice Leblanc,B.J.Harrison,25-08-15,English,398.0,422,100
Magic Tree House: Books 33 & 34,Mary Pope Osborne,Mary Pope Osborne,04-01-22,English,502.0,124,100
A Princess’s Quest for Knowledge,Soumya Torvi,Lavanya Krishna,20-01-20,English,233.0,74,100
The Ring of Solomon,Jonathan Stroud,Jeff Rawle,16-08-11,English,683.0,588,100
"The Last Guardian: Artemis Fowl, Book 8",Eoin Colfer,Nathaniel Parker,10-07-12,English,683.0,459,100
Demigods and Magicians,Rick Riordan,Rick Riordan,06-04-17,English,615.0,272,100
Stuck,Chris Grabenstein,"Mark Sanderlin,Elizabeth Hess,Oliver Wyman,",14-05-20,English,233.0,192,100
Plague of Corruption,"Dr.Judy Mikovits,Kent Heckenlively,Robert F.Kennedy Jr.",Mariel Hemingway,12-06-20,English,844.0,610,100
Return of the Dragon Slayers,Brandon Mull,Kirby Heyborne,27-10-21,English,1078.0,1019,100
Garuda Puran,Dr.Vinay,Sarvesh Vyas,19-07-21,Hindi,0.0,368,100
Anne of Green Gables,L.M.Montgomery,Susan O'Malley,26-10-00,English,836.0,639,100
Random Acts of Fun,Liz Pichon,Mathew Baynton,22-10-21,English,531.0,111,100
Danger at the Iron Dragon,Carolyn Keene,Jorjeana Marie,25-05-21,English,305.0,235,100
Jung,Anthony Stevens,Tim Pigott-Smith,26-12-04,English,539.0,232,100
Kurma Puran (Hindi Edition),Dr.Vinay,Ashwini Walia,19-07-21,Hindi,0.0,360,100
The Majesty of Hanuman Neem Karoli Baba,Sripad Jagannatha Dasa,Sripad Jagannatha Dasa,01-02-22,English,469.0,383,100
Kalidasa’s Abhijnanashakuntalam,"Kalidasa,Lakshmi Lal-adaptation",Shobhana,31-03-20,English,75.0,67,100
Rigveda,Raj Bahadur Pandey,Swetanshu Bora,19-07-21,Hindi,0.0,470,100
The Complete Works of Swami Vivekananda,Swami Vivekananda,Clay Lomakayu,04-09-18,English,836.0,1080,100
Crash Landing,Zac Harrison,Michael Fenton Stevens,18-10-13,English,303.0,235,100
When the Body Says No,Dr Gabor Maté,Daniel Maté,04-03-21,English,888.0,701,100
Beezer and the Creeping Red,Brandon T.Snider,"Kathy Searle,Fred Berman,Ellen Archer,",28-10-21,English,501.0,143,100
Space Plague,Zac Harrison,Michael Fenton Stevens,18-10-13,English,303.0,213,100
The Dragon Squisher,Scott Mc Cormick,Adam Fuller,31-08-20,English,1003.0,559,100
Soap Making Business Startup,Suzanne Carpenter,Dylan Jones,21-04-17,English,501.0,185,100
Tina and Her Magic Kettle (Gujarati Edition),Ms Nilakshi Sengupta,Ms Pranali Joshi,24-03-22,English,70.0,97,100
100 quotes by Albert Einstein,Albert Einstein,Paul Spera,07-03-18,English,187.0,25,100
Travelling to Infinity,Jane Hawking,Sandra Duncan,01-01-15,English,990.0,1151,100
Upside Down Magic Collection (Books 1-6),"Emily Jenkins,Lauren Myracle,Sarah Mlynowski",Rebecca Soler,01-06-20,English,1055.0,1160,100
Shiv Puran (Hindi Edition),Dr.Vinay,Neeraj Yadav,19-07-21,Hindi,0.0,474,100
Death Grip,Elaine Viets,Tanya Eby,19-04-21,English,1172.0,403,100
The Doctor Will See You Now,Dr Amir Khan,Dr Amir Khan,20-08-20,English,888.0,445,100
All Things Bright and Beautiful,James Herriot,Christopher Timothy,29-11-17,English,323.0,804,100
The Children’s Book of Christmas Stories,"Asa Don Dickinson-editor,Ada M.Skinner,Charles Dickens,",Daniel Thomas May,06-02-12,English,668.0,515,100
Tak-Tak,Soumitra Ranade,Boman Irani,05-03-20,English,284.0,16,100
The Meltdown,Jeff Kinney,Dan Russell,30-10-18,English,410.0,149,100
The Home Distiller's Workbook,Jeff King,R.C.Bray,19-09-12,English,268.0,98,100
"Brisingr: The Inheritance Cycle, Book 3",Christopher Paolini,Gerrard Doyle,21-04-09,English,957.0,1774,100
The Salmon of Doubt,Douglas Adams,"Simon Jones,Christopher Cerf,Richard Dawkins,",27-08-09,English,867.0,482,100
The Allure of Julian Lefray,R.S.Grey,"Renee Givens,BJPottsworth",07-06-16,English,668.0,460,100
Holy Bible - The Old Testament,New Revised Standard Version,John Banks,03-12-19,English,569.0,3372,100
How to Eat: The Pleasures and Principles of Good Food,Nigella Lawson,"Nigella Lawson,Jeanette Winterson",11-10-18,English,888.0,1199,100
Nothing but Net,Mark Mahaney,Mike Lenz,09-11-21,English,703.0,632,100
Atomic Habits,James Clear,James Clear,18-10-18,English,820.0,335,100
"Very Good, Jeeves",P.G.Wodehouse,Jonathan Cecil,13-09-12,English,558.0,410,100
"Ducks, Newburyport",Lucy Ellmann,Stephanie Ellyne,27-02-20,English,1138.0,2734,100
Unshakeable Trust,Joyce Meyer,Jodi Carlisle,12-09-17,English,500.0,393,100
Startup,Doree Shafrir,Eliana Marianes,25-04-17,English,500.0,409,100
Gray Matter,"David I.Levy MD,Joel Kilpatrick-contributor",Larry Wayne,08-08-17,English,820.0,515,100
The Hero and the Hacktivist,Pippa Grant,"Teddy Hamilton,Maxine Mitchell",26-11-19,English,586.0,454,100
Science and Cooking,"Michael Brenner,Pia Sörensen,David Weitz",Donna Postel,26-01-21,English,586.0,552,100
